N (X Axis), Count (Y Axis), Category (Lines)
2, 1, compares 
2, 1, baseCount 
2, 0, swaps 
2, 0, copies, 
2, 1.000000, logarithmic 
2, 2.000000, ________________linearithmic 
4, 8, compares 
4, 4, baseCount 
4, 0, swaps 
4, 0, copies, 
4, 2.000000, logarithmic 
4, 8.000000, ________________linearithmic 
8, 39, compares 
8, 11, baseCount 
8, 7, swaps 
8, 0, copies, 
8, 3.000000, logarithmic 
8, 24.000000, ________________linearithmic 
16, 150, compares 
16, 26, baseCount 
16, 47, swaps 
16, 0, copies, 
16, 4.000000, logarithmic 
16, 64.000000, ________________linearithmic 
32, 501, compares 
32, 57, baseCount 
32, 134, swaps 
32, 0, copies, 
32, 5.000000, logarithmic 
32, 160.000000, ________________linearithmic 
64, 1524, compares 
64, 120, baseCount 
64, 434, swaps 
64, 0, copies, 
64, 6.000000, logarithmic 
64, 384.000000, ________________linearithmic 
128, 4339, compares 
128, 247, baseCount 
128, 1270, swaps 
128, 0, copies, 
128, 7.000000, logarithmic 
128, 896.000000, ________________linearithmic 
256, 11762, compares 
256, 502, baseCount 
256, 3425, swaps 
256, 0, copies, 
256, 8.000000, logarithmic 
256, 2048.000000, ________________linearithmic 
512, 30705, compares 
512, 1013, baseCount 
512, 8928, swaps 
512, 0, copies, 
512, 9.000000, logarithmic 
512, 4608.000000, ________________linearithmic 
